,bp_rp,phot_g_mean_mag,distance_gspphot,visibility_periods_used,astrometric_sigma5d_max,astrometric_excess_noise,astrometric_matched_transits
66163,1.6508598,12.274266,73.3203,30,0.017703403,0.08053167,66
66174,0.041423798,5.3838267,62.6185,27,0.2019319,1.4211988,39
66178,0.7595539,8.868807,65.0261,29,0.014866118,0.07069939,88
66180,0.8407526,8.780096,87.7463,30,0.01887456,0.08772359,63
66182,1.9425325,13.231373,91.5924,31,0.01699264,0.0,64
66193,1.582963,12.063873,98.0014,28,0.019338971,0.078811534,62
66194,2.9291658,14.711952,46.6216,29,0.032538824,0.10490001,56
66197,2.3253098,13.264823,86.3015,29,0.020703176,0.04408275,56
66200,1.4585781,9.599628,35.3319,31,0.017452326,0.08143957,62
66201,1.0144119,9.431433,55.4518,27,0.017501416,0.0794026,48
66208,2.4855175,14.091042,92.7907,29,0.13231362,0.8828236,53
66213,1.532259,12.074832,92.3278,26,0.019467477,0.06397114,40
66214,1.411787,11.710411,96.3763,28,0.01727787,0.06579112,44
66219,2.9752846,16.636723,96.4425,24,0.071059726,0.0,38
66220,2.3575935,14.319918,79.8388,28,0.029370751,0.022984758,42
66222,1.9503851,13.396312,99.1112,29,0.018650802,0.0,57
66224,2.748826,14.111358,50.6381,28,0.028977048,0.08423017,52
66226,2.0676126,13.286387,89.6135,28,0.022199877,0.0,43
66227,2.3582592,15.572897,78.2133,29,0.047257237,0.07683272,54
66230,2.3210516,14.2159605,97.1302,26,0.027796898,0.0,44
66231,2.2246714,13.907046,64.2806,27,0.02419222,0.04061347,40
66232,3.0631714,16.993076,101.2982,26,0.107848145,0.0,41
66237,2.326624,14.880765,84.3965,27,0.032058418,0.0,47
66241,2.3727427,14.228302,48.5842,28,0.024782754,0.0,44
66244,2.030408,13.001693,142.1983,26,0.9683556,6.7137356,41
66246,1.2914085,10.96057,75.6558,27,0.018545223,0.06513922,43
66247,1.7411633,13.248396,100.4986,29,0.017817196,0.0,42
66249,0.99587536,10.267478,86.8942,26,0.056696538,0.30593622,41
66252,2.2712717,14.180409,92.3615,25,0.029140947,0.0,39
66254,2.5913982,15.53574,98.0528,27,0.041851804,0.0,45
66256,1.0018244,9.408276,54.5845,25,0.023967605,0.07562488,38
66259,3.0037632,16.67283,99.4242,27,0.0776813,0.0,40
66266,3.0547066,16.468506,97.6301,26,0.082209826,0.1555248,36
66271,0.7976608,8.608681,73.8437,23,0.024155352,0.097606204,34
66272,2.9059334,14.550277,88.6751,27,0.02894125,0.06446533,40
66273,1.4108725,11.798851,94.097,25,0.018768845,0.0674769,41
66277,2.8288498,14.993669,90.3587,28,0.038109694,0.100892924,42
66280,2.7350855,15.421874,84.9775,24,0.047975883,0.050807387,34
66281,0.865592,9.607327,72.942,26,0.020807253,0.07407901,38
66282,2.369502,14.628158,88.7427,27,0.034752697,0.060565926,42
66286,3.204935,16.84165,99.8921,24,0.099665456,0.0,34
66287,2.334052,13.370963,96.7955,26,0.08103835,0.4865685,39
66288,2.054656,12.223737,64.7261,23,0.030634845,0.1450661,36
66291,1.3213749,12.105105,98.5938,26,0.020017669,0.061524294,39
66292,2.2461052,14.5469475,96.3275,26,0.030620413,0.04891653,34
66293,2.1401453,13.645733,96.0868,26,0.018332513,0.0,39
66298,2.6381416,13.865791,80.9763,27,0.052160136,0.27679393,39
66300,2.3662767,15.747238,99.8301,26,0.05478432,0.027931923,40
66303,2.2856512,14.448546,94.5076,26,0.030729668,0.0,37
66304,2.845375,14.361316,35.2916,22,0.034682576,0.043210566,31
66307,1.9653921,9.4123,16.9632,25,0.023151653,0.113799445,39
66308,2.2954597,9.139769,6.4746,25,0.032053627,0.13525641,31
66311,3.0752287,17.239573,100.5207,26,0.12834962,0.0,35
66317,2.5849648,15.598344,88.4512,23,0.053175624,0.0,33
66318,2.2873802,14.501531,77.7979,23,0.035336766,0.0,31
66319,2.3231373,14.42452,79.1909,24,0.02910436,0.032219455,37
66325,2.120453,13.082431,76.3021,21,0.020773005,0.0,29
66326,2.904337,13.284634,32.2229,25,0.026100393,0.07191478,35
66327,2.480051,14.9096155,79.1976,24,0.041707706,0.069689505,35
66328,2.5374727,14.557405,83.9532,24,0.03160515,0.0,33
66329,2.656067,14.793408,84.0099,22,0.033107873,0.0,35
66331,2.6106873,14.874308,92.2846,22,0.044911705,0.0,35
66334,2.4518566,14.118412,78.8412,22,0.0306216,0.062263932,30
66336,2.2338896,13.940307,93.4968,22,0.027155818,0.0,82
66343,3.5991325,18.858112,122.099,22,0.38474792,0.96048033,71
66349,2.7086277,15.161857,47.5974,19,0.054157957,0.030084003,42
66350,1.9525423,12.831985,84.1498,17,0.042555008,0.12938282,45
66363,2.4633932,12.738458,42.1641,21,0.032003235,0.15505847,46
66364,1.332593,11.041018,92.2122,23,0.030829847,0.15502787,49
66366,0.90212536,8.806282,54.1021,21,0.03099894,0.09764555,40
66373,2.1892576,14.070891,95.851,25,0.019904222,0.040429197,79
66377,2.1460924,13.5756855,99.627,17,0.032736894,0.0,56
66378,0.7397766,8.464076,98.8619,19,0.20279318,0.8805413,38
66383,3.3386412,14.097543,18.6401,19,0.026599828,0.12035789,87
66391,0.83897686,7.6373262,42.8899,17,0.051311947,0.1631796,36
66399,2.515029,14.72363,101.8384,22,0.043135818,0.2487209,74
66401,0.69805,7.611673,47.1482,24,0.02377527,0.122458,67
66404,2.5716772,15.298234,97.3018,23,0.03465531,0.048318397,60
66417,2.524065,15.301935,96.0063,29,0.031750012,0.0807631,87
66427,1.0677252,10.00053,68.972,26,0.017146708,0.07856806,96
66434,2.6369772,15.1915865,90.2207,24,0.07193901,0.3770107,36
66435,2.8851585,13.147493,30.7308,24,0.025340142,0.08908667,33
66436,0.62706566,7.025128,69.3767,20,0.06490733,0.23641768,28
66444,2.491519,16.118557,98.581,23,0.08502006,0.0,28
66445,2.8038387,15.218807,99.475,23,0.040923726,0.0,33
66447,2.5827656,15.059489,87.6962,25,0.041227743,0.0977206,35
66448,2.538474,14.612137,83.3906,20,0.046567712,0.0641757,27
66449,0.89058304,7.866008,57.9997,25,0.035645667,0.1413546,34
66452,2.8106155,15.972511,95.99,24,0.06332541,0.0,30
66454,0.8517232,8.261458,45.5774,26,0.027753556,0.09863825,38
66457,0.7956152,9.231052,81.6307,20,0.023563134,0.067969546,46
66459,2.0894222,13.540062,79.317,21,0.025838416,0.0,58
66468,2.1670074,13.793132,54.7852,21,0.041635048,0.15773822,63
66469,1.0972443,11.105198,99.1329,19,0.036275256,0.12034973,36
