,phot_g_mean_mag,bp_rp,distance_gspphot
349196,8.996184,0.8548956,65.3701
349197,12.856267,1.7554445,89.2312
349227,7.0415416,0.6223841,66.2893
349228,15.767312,2.749629,93.6742
349239,16.195042,2.9264202,93.2438
349258,16.999695,2.8041916,103.1934
349283,15.37712,2.7434273,94.1893
349288,7.008314,0.7762928,32.1514
349289,16.415718,3.0877457,102.996
349291,14.174583,2.0913067,89.6897
349295,18.845516,3.9096012,124.6312
349428,9.151578,0.71362877,93.002
349475,15.362341,2.7736683,94.0222
349481,14.432037,2.4245758,95.6967
349487,9.544752,0.9494896,66.101
349492,12.916531,2.0165586,69.6748
349497,14.9632225,2.526043,89.4433
349506,12.700615,2.0600033,74.3038
349515,13.266508,3.160429,18.0166
349528,14.51771,3.2946358,26.2796
349533,10.466129,1.0224037,96.1739
349551,10.257991,1.3252077,53.4169
349552,15.402288,2.8513088,94.3509
